Air pollution,Country,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Homicide rate,Household net adjusted disposable income,Household net financial wealth,Housing expenditure,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rating,Rooms per person,Self-reported health,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
18.0,Greece,0.5,72.0,7.3,52.0,1.0,17002.0,18117.0,24.0,81.1,5.2,16.95,25124.0,82.0,5.22700023651123,1.2,74.0,458.0,14.67,64.0,69.0,16.9
14.5,Greece,0.4,76.0,4.5,56.0,1.0,20791.0,148323.0,21.8,81.7,5.8,10.8,27207.0,78.0,5.358,1.2,79.0,453.0,15.03,58.0,67.0,19.0
30.0,Mexico,4.2,36.0,28.77,61.0,23.4,12850.0,10449.0,21.0,74.4,7.4,0.09,14653.0,74.0,7.187,1.0,66.0,417.0,13.89,63.0,68.0,15.2
30.0,Mexico,4.2,37.0,28.83,61.0,23.4,13085.0,9056.0,21.0,74.6,6.7,0.08,16193.0,77.0,7.187,1.0,66.0,417.0,13.89,63.0,67.0,14.4
12.0,Mexico,4.2,34.0,28.28,60.0,23.4,12806.0,9856.0,22.0,74.6,6.2,0.06,12850.0,75.0,6.778,1.0,66.0,417.0,12.8,63.0,68.0,14.4
16.0,Mexico,4.2,37.0,29.48,61.0,17.9,13891.0,4750.0,21.0,75.0,6.6,0.08,15311.0,80.0,6.57800006866455,1.0,66.0,416.0,12.74,63.0,67.0,14.8
20.3,Mexico,25.9,42.0,27.0,59.0,26.8,16269.0,8085.0,17.8,75.1,6.0,0.1,16230.0,77.0,6.488,1.1,66.0,416.0,13.506666666666668,63.0,75.0,15.0
13.0,United Kingdom,0.3,77.0,12.27,71.0,0.3,25828.0,60065.0,24.0,81.1,6.9,2.75,40649.0,94.0,6.867,1.9,78.0,505.0,14.83,66.0,92.0,16.6
13.0,United Kingdom,0.2,78.0,12.7,71.0,0.3,27029.0,60778.0,23.0,81.0,6.8,2.77,41192.0,91.0,6.867,1.9,74.0,502.0,14.83,66.0,88.0,16.4
11.0,United Kingdom,0.4,79.0,12.83,73.0,0.2,26687.0,69927.0,23.0,81.1,6.5,2.22,41659.0,93.0,6.725,1.9,74.0,502.0,14.87,66.0,87.0,16.7
11.0,United Kingdom,0.4,81.0,12.68,74.0,0.2,28408.0,83405.0,24.0,81.0,6.7,1.32,42835.0,93.0,6.71400022506714,2.0,70.0,500.0,14.92,69.0,85.0,16.8
10.1,United Kingdom,0.5,82.0,10.8,75.0,0.2,33049.0,524422.0,23.2,81.3,6.8,0.9,47147.0,93.0,7.19,2.0,73.0,503.0,14.94,68.0,82.0,17.0
13.0,Ireland,0.2,73.0,4.17,59.0,0.8,23721.0,28099.0,20.0,80.6,6.8,9.24,50853.0,95.0,6.94,2.1,83.0,518.0,15.19,70.0,84.0,17.5
13.0,Ireland,0.2,75.0,4.2,60.0,0.8,23917.0,31580.0,19.0,81.0,7.0,8.39,49506.0,96.0,6.94,2.1,82.0,516.0,15.19,70.0,80.0,17.6
8.0,Ireland,0.1,79.0,4.11,61.0,0.8,22969.0,31861.0,20.0,81.1,6.8,6.98,53286.0,95.0,6.907,2.0,82.0,516.0,15.3,70.0,82.0,17.8
7.0,Ireland,0.1,80.0,4.66,65.0,0.6,25439.0,43493.0,21.0,81.5,7.0,4.72,51681.0,96.0,6.97700023651123,2.1,82.0,509.0,15.28,65.0,82.0,18.7
7.8,Ireland,0.2,85.0,4.7,68.0,0.5,29488.0,370341.0,20.6,82.8,7.0,1.2,49474.0,96.0,6.977,2.1,84.0,505.0,14.54,63.0,80.0,18.0
18.0,Iceland,0.4,71.0,13.73,80.0,1.3,22415.0,43045.0,21.0,82.4,7.5,1.68,39433.0,96.0,7.561,1.6,78.0,486.0,14.61,81.0,97.0,19.5
18.0,Iceland,0.4,71.0,12.25,82.0,0.3,23965.0,43045.0,24.0,83.0,7.5,1.18,55716.0,96.0,7.561,1.5,77.0,484.0,14.61,81.0,97.0,19.8
7.0,Iceland,0.0,73.0,13.79,82.0,0.3,27918.0,54275.0,24.0,82.1,7.5,0.67,56789.0,96.0,7.501,1.6,77.0,484.0,14.13,81.0,97.0,19.6
3.0,Iceland,0.0,78.0,15.06,86.0,0.9,30453.0,64398.0,24.0,82.5,7.5,0.26,55984.0,98.0,7.50400018692017,1.6,76.0,481.0,14.15,79.0,99.0,19.3
6.4,Iceland,0.0,76.0,11.7,78.0,0.3,27445.333333333332,53906.0,24.0,83.2,7.6,0.7,67488.0,98.0,7.495,1.6,77.0,481.0,14.296666666666667,81.0,97.0,19.0
15.0,Russia,15.1,94.0,0.17,69.0,12.8,17230.0,3331.0,11.0,69.0,5.5,1.69,21311.0,84.0,5.716,0.9,37.0,475.0,14.97,65.0,44.0,15.8
15.0,Russia,15.1,94.0,0.16,69.0,12.8,19292.0,3412.0,11.0,70.2,6.0,1.7,20885.0,90.0,5.716,0.9,37.0,481.0,14.97,65.0,56.0,16.0
14.0,Russia,14.4,95.0,0.18,69.0,11.3,17006.0,3687.0,11.0,70.7,6.0,1.45,26977.0,91.0,5.856,0.9,39.0,481.0,14.91,65.0,49.0,16.1
